wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
9,7,3.609063625335693,71,68,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.4062187671661377,34,34,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,0,41.15274262428284,219,195,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,0,54.72970700263977,228,198,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3280971050262451,33,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,9,5.046444892883301,87,86,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,2,29.966193675994877,173,156,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.4374632835388183,35,35,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,6,5.577649354934692,85,78,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
2,0,39.37164378166199,160,130,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,7,0.515580415725708,40,37,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
9,8,4.218387126922607,77,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
9,9,4.249639987945557,80,78,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,8,0.4218320846557617,35,33,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,2,45.261765003204346,197,165,Expert (16x30),18x32,True,"(3, 3)",True,3,10
0,0,34.68454670906067,168,143,Expert (16x30),18x32,True,"(3, 3)",True,3,10
